Product_ID,product_name,brand,price,Original_Price,Discount_Percentage,Rating,Number_of_Ratings,Shades_Available,Breadcrumbs,Product_URL,Description
PROD0014,L'Oreal Pure Lipstick,L'Oreal,4350,5556,21.7,4.7,1785,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0014,Tested by dermatologists and suitable for all skin types.
PROD0015,Charlotte Tilbury Ultra Lipstick,Charlotte Tilbury,3440,3654,5.9,4.1,6572,10,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0015,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0016,MAC Hydra Lipstick,MAC,735,1440,49,4.1,1609,8,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0016,Long-lasting formula with smooth application.
PROD0017,L'Oreal Glow Lipstick,L'Oreal,3009,3338,9.9,4.2,7061,1,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0017,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0018,Maybelline Glow Lipstick,Maybelline,4418,4965,11,4.8,7278,5,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0018,Hydrating and gentle on skin with rich texture.
PROD0019,Nykaa Hydra Lipstick,Nykaa,5474,6470,15.4,4.8,1894,15,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0019,Tested by dermatologists and suitable for all skin types.
PROD0020,Maybelline Matte Lipstick,Maybelline,4947,5873,15.8,3.8,728,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0020,Tested by dermatologists and suitable for all skin types.
PROD0021,Lakme Intense Lipstick,Lakme,553,1951,71.7,4.5,4474,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0021,Enriched with natural extracts for everyday use.
PROD0022,Nykaa Hydra Lipstick,Nykaa,3118,3736,16.5,3.6,7263,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0022,"Smudge-proof, waterproof, and lightweight formula."
PROD0023,Lakme Intense Lipstick,Lakme,2395,3062,21.8,4.4,4207,9,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0023,Tested by dermatologists and suitable for all skin types.
PROD0024,Lakme Pure Lipstick,Lakme,5941,6248,4.9,4.2,6939,19,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0024,Long-lasting formula with smooth application.
PROD0025,MAC Hydra Lipstick,MAC,2749,2961,7.2,4.7,3501,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0025,Tested by dermatologists and suitable for all skin types.
PROD0026,Nykaa Pure Lipstick,Nykaa,5414,6749,19.8,4.8,6886,14,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0026,Enriched with natural extracts for everyday use.
PROD0027,MAC Pure Lipstick,MAC,4955,5630,12,3.5,697,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0027,Hydrating and gentle on skin with rich texture.
PROD0028,Huda Beauty Hydra Lipstick,Huda Beauty,1882,2739,31.3,3.6,3681,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0028,"Smudge-proof, waterproof, and lightweight formula."
PROD0029,MAC Matte Lipstick,MAC,1678,2043,17.9,3.9,2759,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0029,"Smudge-proof, waterproof, and lightweight formula."
PROD0030,Lakme Natural Lipstick,Lakme,1952,3005,35,3.8,2054,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0030,"Smudge-proof, waterproof, and lightweight formula."
PROD0031,Maybelline Hydra Lipstick,Maybelline,3577,3748,4.6,4.5,7800,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0031,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0032,L'Oreal Natural Lipstick,L'Oreal,2624,3050,14,4.7,445,4,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0032,Enriched with natural extracts for everyday use.
PROD0033,Lakme Pure Lipstick,Lakme,3200,4027,20.5,3.9,6622,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0033,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0034,Lakme Pure Lipstick,Lakme,1093,1200,8.9,3.9,1278,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0034,"Smudge-proof, waterproof, and lightweight formula."
PROD0035,Huda Beauty Matte Lipstick,Huda Beauty,5901,6586,10.4,3.6,503,7,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0035,Enriched with natural extracts for everyday use.
PROD0036,L'Oreal Natural Lipstick,L'Oreal,1351,1987,32,4,4920,19,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0036,Hydrating and gentle on skin with rich texture.
PROD0037,Charlotte Tilbury Ultra Lipstick,Charlotte Tilbury,5653,5844,3.3,3.8,5009,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0037,Enriched with natural extracts for everyday use.
PROD0038,Huda Beauty Natural Lipstick,Huda Beauty,211,656,67.8,5,1034,13,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0038,"Smudge-proof, waterproof, and lightweight formula."
PROD0039,MAC Matte Lipstick,MAC,614,1344,54.3,3.7,6829,18,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0039,Tested by dermatologists and suitable for all skin types.
PROD0040,Charlotte Tilbury Intense Lipstick,Charlotte Tilbury,3071,4252,27.8,3.6,2838,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0040,Hydrating and gentle on skin with rich texture.
PROD0041,Lakme Intense Lipstick,Lakme,5046,5241,3.7,3.8,2001,1,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0041,Long-lasting formula with smooth application.
PROD0042,Lakme Intense Lipstick,Lakme,5247,6707,21.8,3.6,7017,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0042,"Smudge-proof, waterproof, and lightweight formula."
PROD0043,Charlotte Tilbury Pure Lipstick,Charlotte Tilbury,3342,3508,4.7,4.3,1496,11,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0043,Long-lasting formula with smooth application.
PROD0044,L'Oreal Hydra Lipstick,L'Oreal,5067,5700,11.1,4.7,6001,17,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0044,"Smudge-proof, waterproof, and lightweight formula."
PROD0045,Lakme Intense Lipstick,Lakme,3768,4764,20.9,4.1,1175,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0045,Enriched with natural extracts for everyday use.
PROD0046,Lakme Matte Lipstick,Lakme,561,1872,70,4.3,476,1,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0046,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0047,Charlotte Tilbury Pure Lipstick,Charlotte Tilbury,5412,5957,9.1,4.3,5015,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0047,"Smudge-proof, waterproof, and lightweight formula."
PROD0048,MAC Glow Lipstick,MAC,1162,2014,42.3,4.2,7945,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0048,Tested by dermatologists and suitable for all skin types.
PROD0049,Huda Beauty Natural Lipstick,Huda Beauty,3094,4198,26.3,4.5,4209,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0049,Long-lasting formula with smooth application.
PROD0050,Nykaa Hydra Lipstick,Nykaa,2189,2780,21.3,3.9,4349,2,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0050,"Smudge-proof, waterproof, and lightweight formula."
PROD0051,Huda Beauty Natural Lipstick,Huda Beauty,4764,4996,4.6,4.3,2125,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0051,Hydrating and gentle on skin with rich texture.
PROD0052,Lakme Glow Lipstick,Lakme,1697,1928,12,4.6,5778,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0052,Tested by dermatologists and suitable for all skin types.
PROD0053,Nykaa Ultra Lipstick,Nykaa,737,2173,66.1,4.2,7350,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0053,Hydrating and gentle on skin with rich texture.
PROD0054,Charlotte Tilbury Ultra Lipstick,Charlotte Tilbury,4484,4998,10.3,3.6,6806,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0054,Long-lasting formula with smooth application.
PROD0055,Maybelline Glow Lipstick,Maybelline,5991,7251,17.4,4.6,5010,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0055,Tested by dermatologists and suitable for all skin types.
PROD0056,L'Oreal Intense Lipstick,L'Oreal,1410,2618,46.1,4.6,6911,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0056,Tested by dermatologists and suitable for all skin types.
PROD0057,Maybelline Ultra Lipstick,Maybelline,3867,4829,19.9,4.6,4681,8,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0057,Hydrating and gentle on skin with rich texture.
PROD0058,Huda Beauty Matte Lipstick,Huda Beauty,4391,5515,20.4,4.8,2500,18,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0058,"Smudge-proof, waterproof, and lightweight formula."
PROD0059,Lakme Intense Lipstick,Lakme,4730,5207,9.2,3.7,554,11,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0059,Enriched with natural extracts for everyday use.
PROD0060,Lakme Pure Lipstick,Lakme,748,1120,33.2,3.7,4994,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0060,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0061,Charlotte Tilbury Glow Lipstick,Charlotte Tilbury,1557,1933,19.5,4.6,1168,16,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0061,Enriched with natural extracts for everyday use.
PROD0062,Lakme Pure Lipstick,Lakme,811,1061,23.6,3.8,1570,18,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0062,Hydrating and gentle on skin with rich texture.
PROD0063,Huda Beauty Glow Lipstick,Huda Beauty,5818,6153,5.4,4.3,3065,1,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0063,Long-lasting formula with smooth application.
PROD0064,MAC Intense Lipstick,MAC,2706,2802,3.4,4.7,7567,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0064,Tested by dermatologists and suitable for all skin types.
PROD0065,MAC Matte Lipstick,MAC,4340,4427,2,4.1,7878,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0065,"Smudge-proof, waterproof, and lightweight formula."
PROD0066,Lakme Glow Lipstick,Lakme,2678,3745,28.5,4,2607,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0066,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0067,Lakme Ultra Lipstick,Lakme,579,2076,72.1,4.8,4775,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0067,"Smudge-proof, waterproof, and lightweight formula."
PROD0068,Charlotte Tilbury Glow Lipstick,Charlotte Tilbury,4211,4542,7.3,4.6,6139,19,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0068,Hydrating and gentle on skin with rich texture.
PROD0069,L'Oreal Natural Lipstick,L'Oreal,5277,5756,8.3,4,2175,17,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0069,Tested by dermatologists and suitable for all skin types.
PROD0070,MAC Intense Lipstick,MAC,5688,6238,8.8,4.8,6061,13,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0070,Tested by dermatologists and suitable for all skin types.
PROD0071,MAC Natural Lipstick,MAC,4596,4662,1.4,4.7,1902,19,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0071,"Smudge-proof, waterproof, and lightweight formula."
PROD0072,Maybelline Hydra Lipstick,Maybelline,1836,2347,21.8,4.9,3822,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0072,Hydrating and gentle on skin with rich texture.
PROD0073,Nykaa Intense Lipstick,Nykaa,5076,6334,19.9,4.6,4610,18,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0073,Long-lasting formula with smooth application.
PROD0074,Lakme Ultra Lipstick,Lakme,2235,3614,38.2,4.4,4849,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0074,Tested by dermatologists and suitable for all skin types.
PROD0075,MAC Pure Lipstick,MAC,395,1329,70.3,4.7,4535,15,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0075,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0076,Maybelline Ultra Lipstick,Maybelline,3860,5006,22.9,5,7015,11,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0076,"Smudge-proof, waterproof, and lightweight formula."
PROD0077,MAC Pure Lipstick,MAC,5669,5862,3.3,4.2,4682,,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0077,Tested by dermatologists and suitable for all skin types.
PROD0078,Maybelline Natural Lipstick,Maybelline,208,762,72.7,3.6,7027,3,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0078,Tested by dermatologists and suitable for all skin types.
PROD0079,L'Oreal Glow Lipstick,L'Oreal,904,2146,57.9,4,1861,11,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0079,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0080,Huda Beauty Ultra Lipstick,Huda Beauty,901,1601,43.7,4,1805,12,Home/Personal Care/Lipstick,https://www.myntra.com/personal-care/lipstick/PROD0080,Hydrating and gentle on skin with rich texture.
PROD0081,Himalaya Glow Lip Balm,Himalaya,1597,1720,7.2,3.6,3358,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0081,Tested by dermatologists and suitable for all skin types.
PROD0082,The Body Shop Intense Lip Balm,The Body Shop,4321,4722,8.5,4.4,4693,10,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0082,"Smudge-proof, waterproof, and lightweight formula."
PROD0083,Himalaya Natural Lip Balm,Himalaya,1599,2250,28.9,4.7,379,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0083,Hydrating and gentle on skin with rich texture.
PROD0084,The Body Shop Pure Lip Balm,The Body Shop,960,1569,38.8,4.9,4664,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0084,"Smudge-proof, waterproof, and lightweight formula."
PROD0085,The Body Shop Glow Lip Balm,The Body Shop,4275,4447,3.9,4.7,3770,10,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0085,Hydrating and gentle on skin with rich texture.
PROD0086,Himalaya Hydra Lip Balm,Himalaya,5543,6472,14.4,4.2,3932,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0086,"Smudge-proof, waterproof, and lightweight formula."
PROD0087,Biotique Glow Lip Balm,Biotique,3949,4641,14.9,4.3,4745,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0087,Enriched with natural extracts for everyday use.
PROD0088,Himalaya Glow Lip Balm,Himalaya,3969,5034,21.2,4.7,3036,9,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0088,Hydrating and gentle on skin with rich texture.
PROD0089,Nivea Matte Lip Balm,Nivea,2039,2595,21.4,3.9,6976,4,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0089,Tested by dermatologists and suitable for all skin types.
PROD0090,Nivea Ultra Lip Balm,Nivea,1666,2266,26.5,3.8,6702,9,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0090,Enriched with natural extracts for everyday use.
PROD0091,Nivea Matte Lip Balm,Nivea,5160,5493,6.1,3.5,7476,6,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0091,Long-lasting formula with smooth application.
PROD0092,The Body Shop Glow Lip Balm,The Body Shop,4057,4517,10.2,5,4065,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0092,Hydrating and gentle on skin with rich texture.
PROD0093,Biotique Matte Lip Balm,Biotique,5130,6392,19.7,4,573,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0093,Enriched with natural extracts for everyday use.
PROD0094,Vaseline Intense Lip Balm,Vaseline,1462,2531,42.2,4.7,6320,14,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0094,"Smudge-proof, waterproof, and lightweight formula."
PROD0095,The Body Shop Hydra Lip Balm,The Body Shop,568,1814,68.7,3.8,476,8,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0095,Hydrating and gentle on skin with rich texture.
PROD0096,The Body Shop Ultra Lip Balm,The Body Shop,3309,4491,26.3,4.1,6912,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0096,Tested by dermatologists and suitable for all skin types.
PROD0097,Nivea Glow Lip Balm,Nivea,3434,4568,24.8,4.3,141,5,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0097,Long-lasting formula with smooth application.
PROD0098,Nivea Matte Lip Balm,Nivea,4054,4536,10.6,4,6943,9,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0098,"Smudge-proof, waterproof, and lightweight formula."
PROD0099,Himalaya Matte Lip Balm,Himalaya,3074,4221,27.2,4.7,419,15,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0099,Enriched with natural extracts for everyday use.
PROD0100,Nivea Pure Lip Balm,Nivea,5029,5079,1,3.9,796,15,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0100,Long-lasting formula with smooth application.
PROD0101,The Body Shop Matte Lip Balm,The Body Shop,1201,1955,38.6,3.9,885,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0101,Tested by dermatologists and suitable for all skin types.
PROD0102,Nivea Hydra Lip Balm,Nivea,5998,7431,19.3,4.2,6622,6,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0102,"Smudge-proof, waterproof, and lightweight formula."
PROD0103,Himalaya Natural Lip Balm,Himalaya,1210,1932,37.4,4.1,5033,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0103,"Smudge-proof, waterproof, and lightweight formula."
PROD0104,Himalaya Ultra Lip Balm,Himalaya,2344,3104,24.5,5,7306,3,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0104,Enriched with natural extracts for everyday use.
PROD0105,The Body Shop Intense Lip Balm,The Body Shop,2659,4052,34.4,3.6,631,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0105,Enriched with natural extracts for everyday use.
PROD0106,Biotique Intense Lip Balm,Biotique,3830,5178,26,3.9,6606,20,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0106,Hydrating and gentle on skin with rich texture.
PROD0107,Himalaya Intense Lip Balm,Himalaya,5783,6486,10.8,3.7,6972,16,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0107,Tested by dermatologists and suitable for all skin types.
PROD0108,Vaseline Pure Lip Balm,Vaseline,5244,6254,16.1,4.6,1114,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0108,Enriched with natural extracts for everyday use.
PROD0109,Vaseline Natural Lip Balm,Vaseline,3855,3964,2.7,3.8,4635,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0109,Tested by dermatologists and suitable for all skin types.
PROD0110,Nivea Pure Lip Balm,Nivea,2542,3273,22.3,5,3456,12,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0110,Tested by dermatologists and suitable for all skin types.
PROD0111,Vaseline Matte Lip Balm,Vaseline,3814,4279,10.9,4.4,671,19,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0111,Enriched with natural extracts for everyday use.
PROD0112,Biotique Hydra Lip Balm,Biotique,5433,5966,8.9,3.5,5391,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0112,Long-lasting formula with smooth application.
PROD0113,Vaseline Glow Lip Balm,Vaseline,1838,2345,21.6,4.5,1995,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0113,Tested by dermatologists and suitable for all skin types.
PROD0114,Vaseline Natural Lip Balm,Vaseline,1159,1738,33.3,4.6,7609,11,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0114,Long-lasting formula with smooth application.
PROD0115,Biotique Ultra Lip Balm,Biotique,4689,4976,5.8,4.6,5961,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0115,"Smudge-proof, waterproof, and lightweight formula."
PROD0116,Nivea Natural Lip Balm,Nivea,2331,3602,35.3,4,2970,1,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0116,Enriched with natural extracts for everyday use.
PROD0117,Nivea Pure Lip Balm,Nivea,4893,5072,3.5,4.2,5391,2,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0117,Enriched with natural extracts for everyday use.
PROD0118,Vaseline Matte Lip Balm,Vaseline,4889,6163,20.7,4.4,7790,3,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0118,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0119,The Body Shop Intense Lip Balm,The Body Shop,4263,5195,17.9,3.8,6697,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0119,Tested by dermatologists and suitable for all skin types.
PROD0120,Himalaya Pure Lip Balm,Himalaya,5145,6408,19.7,4.8,5497,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0120,"Smudge-proof, waterproof, and lightweight formula."
PROD0121,Himalaya Intense Lip Balm,Himalaya,231,1236,81.3,3.5,5920,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0121,Enriched with natural extracts for everyday use.
PROD0122,Nivea Ultra Lip Balm,Nivea,5956,6256,4.8,3.9,5133,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0122,Hydrating and gentle on skin with rich texture.
PROD0123,Nivea Natural Lip Balm,Nivea,1979,2404,17.7,4.2,343,12,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0123,Enriched with natural extracts for everyday use.
PROD0124,Himalaya Intense Lip Balm,Himalaya,5857,6845,14.4,4.1,1944,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0124,Hydrating and gentle on skin with rich texture.
PROD0125,Nivea Natural Lip Balm,Nivea,2660,4066,34.6,4.8,7722,4,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0125,Long-lasting formula with smooth application.
PROD0126,Vaseline Ultra Lip Balm,Vaseline,3322,4121,19.4,3.7,6909,4,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0126,Infused with essential oils and organic ingredients for a refreshing experience.
PROD0127,Biotique Natural Lip Balm,Biotique,4873,4967,1.9,4.9,1422,17,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0127,"Smudge-proof, waterproof, and lightweight formula."
PROD0128,Biotique Hydra Lip Balm,Biotique,2879,3253,11.5,4.3,3230,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0128,Enriched with natural extracts for everyday use.
PROD0129,Nivea Pure Lip Balm,Nivea,3770,4610,18.2,4.9,5448,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0129,Long-lasting formula with smooth application.
PROD0130,The Body Shop Natural Lip Balm,The Body Shop,4349,5221,16.7,4.1,7780,19,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0130,"Smudge-proof, waterproof, and lightweight formula."
PROD0131,Vaseline Glow Lip Balm,Vaseline,5013,5083,1.4,4.4,2367,,Home/Personal Care/Lip Balm,https://www.myntra.com/personal-care/lip balm/PROD0131,Enriched with natural extracts for everyday use.
